University,Department,Name,Position,Link,Email,Research Focus
Georgia Tech,Electrical and Computer Engineering,Amira Hijazi,Postdoctoral Fellow,https://www.isye.gatech.edu/users/amira-hijazi,,
Georgia Tech,Electrical and Computer Engineering,Xiaoming Huo,A. Russell Chandler III Professor,https://www.isye.gatech.edu/users/xiaoming-huo,,Statistics
Georgia Tech,Electrical and Computer Engineering,Katundu Imasiku,Postdoctoral Fellow,https://www.isye.gatech.edu/users/katundu-imasiku,,
Georgia Tech,Electrical and Computer Engineering,John Jarvis,Professor (Retired),https://www.isye.gatech.edu/users/john-jarvis,,Operations Research
Georgia Tech,Electrical and Computer Engineering,Liwei Jiang,Postdoctoral Fellow,https://www.isye.gatech.edu/users/liwei-jiang,,
Georgia Tech,Electrical and Computer Engineering,Ronald Johnson,Adjunct Professor of the Practice,https://www.isye.gatech.edu/users/ronald-johnson,,
Georgia Tech,Electrical and Computer Engineering,Roshan Joseph,A. Russell Chandler III ChairProfessor,https://www.isye.gatech.edu/users/roshan-joseph,,"Statistics, Experimental Design, Bayesian Computation, Uncertainty Quantification, Quality Engineering, Big Data Analytics"
Georgia Tech,Electrical and Computer Engineering,Jovan Julien,Georgia Power Foundation Faculty FellowAssistant Professor,https://www.isye.gatech.edu/users/jovan-julien,,
Georgia Tech,Electrical and Computer Engineering,Pinar Keskinocak,Associate Chair for Faculty DevelopmentWilliam W. George ChairProfessor,https://www.isye.gatech.edu/users/pinar-keskinocak,,"Health systems, Humantarian Systems, Supply Chain and Logistics, Optimization"
Georgia Tech,Electrical and Computer Engineering,Tuba Ketenci,Director of Educational Outreach,https://www.isye.gatech.edu/users/tuba-ketenci,,
Georgia Tech,Electrical and Computer Engineering,Seong-Hee Kim,Professor,https://www.isye.gatech.edu/users/seong-hee-kim,,"Simulation, Applied Statistics"
Georgia Tech,Electrical and Computer Engineering,Anton Kleywegt,Associate Professor,https://www.isye.gatech.edu/users/anton-kleywegt,,"Operations Research, Logistics"
Georgia Tech,Electrical and Computer Engineering,Mingu Kwak,Postdoctoral Fellow,https://www.isye.gatech.edu/users/mingu-kwak,,
